model_variant,run,{q},{q|q},"{q,i}","{i,q}","{q,i|q,i}","{i,q|i,q}","{q,i|q}","{q|q,i}","{i,q|i}","{i|i,q}",errors
Mistral Nemo 12B,Main (07-10 00:50),13.8,13.8,18.1,18.6,19.3,17.2,,,,,0
Mistral Small 24B,Main (07-10 22:19),33.2,34.0,44.8,44.2,47.1,46.7,,,,,0
Mistral Small 24B,Question bridge (07-14 05:18),,,44.4,43.5,,,44.7,44.3,,,0
Mistral Small 24B,Insight bridge (07-15 02:35),,,,41.2,,,,,43.1,42.2,0
Qwen 2.5 7B,Main (07-10 02:02),42.5,43.0,50.1,44.8,53.3,48.7,,,,,0
Qwen 2.5 7B,Question bridge (07-14 00:27),,,50.9,46.1,,,51.0,51.2,,,0
Qwen 2.5 7B,Insight bridge (07-14 23:15),,,,47.9,,,,,50.0,49.3,0
Qwen 2.5 32B,Main (07-10 17:53),53.2,52.3,66.0,63.3,65.4,64.3,,,,,0
Gemma 3 12B,Main (07-12 15:48),53.0,54.8,64.4,61.7,64.3,64.3,,,,,0
Gemma 3 27B,Main (07-12 21:10),60.6,62.6,72.3,70.0,73.5,71.9,,,,,0
Gemma 3 27B,Question bridge (07-14 23:40),,,70.8,,,,71.6,71.2,,,0
Qwen 3 8B (thinking on),Main (07-12 16:05),25.8,25.5,32.0,30.1,31.1,33.0,,,,,1
Qwen 3 8B (thinking off),Main (07-13 00:21),49.5,52.9,59.7,58.7,63.4,60.7,,,,,0
